Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
BMP1	0.000		0.000	0.477	0.477	0.000	0.301	0.301	0.301	0.778	0.000	0.000	0.699	0.699	0.602	0.301	0.000		0.301	0.301			0.778	0.000	0.000	0.477	0.477		0.000	0.301	0.000				0.000	0.301		0.000	0.000	0.477	0.477		0.477	0.602	
BMP3										0.699																																			
BSG	1.146	1.000	1.079	1.362	1.146	1.000	1.079	1.255	1.079	1.204	1.079	1.322	1.204	1.255	1.114	1.230	1.255	1.146	1.041	1.079	1.041	1.114	1.230	1.079	1.146	0.778	1.041	1.079	1.114	1.114	1.114	1.114	1.041	1.322	1.041	1.114	1.146	1.079	0.845	1.204	1.301	1.041	1.000	1.362	
BST1	0.000	0.477	1.000	0.903	0.477	0.903	1.041	1.204	0.903	0.954	0.954	1.146	0.602	1.146	0.903	1.114	1.204		0.301	1.000	0.903		1.079	0.903	0.845	0.903	0.778	0.000	0.845	0.477			0.699	0.699	0.477	0.301	0.301		0.699	1.146	1.204	1.114	1.079	0.903	
BST2	1.431	1.230	1.342	1.663	1.398	1.279	1.591	1.653	1.602	1.519	1.431	1.491	1.568	1.544	1.491	1.643	1.613	1.230	1.204	1.591	1.491	1.176	1.531	1.556	1.279	1.146	1.531	1.146	1.146	1.204	1.255	1.230	1.447	1.431	1.322	1.477	1.447	1.255	1.398	1.806	1.462	1.230	1.505	1.653	
BTD	1.146	1.000	0.903	1.000	1.000	1.000	0.954	1.204	1.000	0.903	1.000	1.041	1.000	0.954	1.000	1.000	1.000	1.079	1.146	1.176	1.079	0.903	1.079	0.903	0.954	0.954	1.041	0.954	0.954	0.954	1.000	0.903	1.041	1.041	1.079	1.230	1.041	1.000	0.954	1.041	1.079	1.000	0.903	1.114	
C1QA	1.114	1.176	1.204	1.602	1.041	1.380	1.771	1.415	1.447	1.431	1.447	1.447	1.398	1.230	1.398	1.431	1.279	1.362	1.146	1.531	1.230	0.845	1.580	1.602	1.204	1.380	1.813	1.491	1.301	1.279	1.322	1.146	1.833	1.114	1.623	1.279	1.342	1.114	0.778	1.301	1.462	1.398	1.431	1.633	
C1R	0.000			0.301		0.602	1.114	0.602	0.477	0.301		0.000	0.602	0.000	0.778	0.000				0.903			0.778	0.602		0.477	0.602	0.301	0.301					0.000	0.699	0.000		0.000	0.000	0.477	0.699		0.699	0.477	
C1RL	0.845	0.699	0.301	1.079	0.699	0.903	1.079	0.954	1.000	1.000	1.000	0.954	0.903	0.602	1.079	0.778	1.000	0.699	0.301	1.114	0.778	0.477	0.954	1.041	0.845	0.699	1.079	0.845	0.903	0.699	0.778	0.778	0.778	0.903	0.845	0.845	0.845	0.778		1.176	0.903	0.954	0.845	1.041	
C1S			0.000	0.000			0.778	0.602		0.000	0.477	0.954		0.000		0.301	0.699									0.301														0.301	0.778	0.000	0.000	0.778	
C2	0.954	1.000	1.000	0.778	0.602	0.845	1.114	1.000	1.000	1.114	0.954	1.146	0.954	0.903	1.000	1.041	1.114	0.699	0.602	1.204	0.699	0.778	1.146	1.114	0.477	0.778	1.114	0.602	0.903	1.041	0.845	0.778	0.778	1.114	1.114	0.845	0.954	0.954	0.778	1.079	1.000	0.954	1.204	1.000	
C3	1.623	1.580	1.653	1.690	1.556	1.799	1.699	1.756	1.633	1.708	1.663	1.839	1.820	1.716	1.771	1.724	1.820	1.505	1.519	1.672	1.732	1.544	1.681	1.708	1.653	1.653	1.740	1.580	1.799	1.519	1.580	1.568	1.568	1.623	1.623	1.477	1.519	1.643	1.322	1.740	1.778	1.544	1.681	1.716	
C4A	1.230	1.301	0.845	1.204	1.146	1.342	1.146	1.301	1.279	1.279	1.114	1.398	1.279	1.176	1.491	1.322	1.230	1.146	1.447	1.255	1.146	1.230	1.204	1.230	1.041	1.114	1.544	1.204	1.279	1.301	1.176	1.146	0.903	1.176	1.176	1.230	1.362	1.322	1.114	1.322	1.362	1.000	1.079	1.204	
C4BPA							0.477				0.000	1.230					0.301			0.000				0.000		0.000			0.477													0.000			
C4BPB	0.000	0.477	0.954	0.845	0.602	0.602	0.845	0.903	0.477	0.903	1.041	0.954	0.699	0.845	0.602	0.954	0.778	0.954	0.845	0.301	0.699	0.778	0.778	0.602	0.602	0.778	0.301	1.000	0.903	0.778	0.954	0.301	0.477	0.602	0.602	0.778	0.845	0.699	0.477	0.778	0.477	0.778	0.845	0.903	
C6				0.301	0.477	0.477	0.602	0.477		0.477	0.477	0.477	0.477	0.602	0.477	0.602	0.301		0.477	0.477	0.602	0.000	0.301	0.477	0.477	0.301	0.477	0.301		0.301		0.301	0.301		0.000	0.477	0.477	0.000			0.778			0.477	
C7	0.301	0.602	1.000	1.041	0.699	0.903	1.431	1.079	1.000	1.322	0.699	1.000	1.000	0.778	1.041	0.903	1.079	0.477	0.602	1.041	0.602	0.477	1.114	1.176	1.146	0.903	1.041	0.477	1.176	0.602	0.477	0.301	1.000	0.903	0.778	0.301	0.602	0.301	0.477	1.041	1.041	0.845	1.000	0.477	
C9	0.903	0.699	1.041	1.230	1.041	1.230	1.415	1.230	1.301	1.079	1.176	1.255	1.041	1.079	1.447	0.778	1.079	1.146	0.954	1.342	1.079	0.778	1.255	1.255	1.176	1.079	1.342	0.778	1.230	0.903	1.176	0.778	1.301	1.255	1.362	0.699	1.079	0.845	1.146	1.204	1.204	1.176	1.301	1.322	
CA1												0.000				0.000						0.000							0.602		0.602														
CACNA2D1	1.146	1.255		1.114	0.699	1.176	1.380	1.301	1.176	1.415		1.342	1.146	1.114	0.954	1.176	1.398	1.041	0.845	1.041	0.903	0.778	1.342	0.699	0.602	0.000	0.778	0.845	0.778	0.778	1.079	0.699	0.477	0.778	0.903	1.362	1.079	1.255	0.301	1.279	1.342	0.602	1.301	1.322	
CACNA2D2				0.477						0.301					0.000									0.000										0.903										0.000	
CADM1	1.301	1.230	1.146	1.431	1.279	1.176	1.204	1.431	1.176	1.301	1.146	1.114	1.255	1.176	1.230	1.146	1.301	1.255	1.204	1.079	1.204	1.041	1.230	1.079	1.204	1.176	1.279	1.204	1.230	1.176	1.301	1.041	1.204	1.362	1.255	1.230	1.279	1.255	0.845	1.322	1.380	1.146	1.041	1.519	
CADM4			0.000				0.477	0.301		0.778	0.000				0.000	0.000	0.301										0.000							0.699		0.477	0.000				0.301			0.000	
CALD1														0.477		0.000			0.301		0.000											0.000			0.000										
CALM1	0.602	0.301			0.954	0.778					0.000							0.778	0.301			0.602						0.000	0.602	0.477	0.778	0.301		0.903		0.845	0.954	0.301	0.778	0.477			1.079	0.602	
CALR	0.903	0.699		0.477	0.477	0.778	0.301	0.000	0.000		0.602	0.000	0.301		0.477	0.000	0.000	1.204	0.000	0.301	0.000	1.041		0.301	0.000		0.301	0.602	0.954	0.301	1.079		0.301	0.845	0.301	0.954	0.477	1.000	0.699	0.699		0.000	0.845	0.301	
CALU	1.114	1.000	1.415	1.279	1.041	1.415	1.079	1.204	1.301	1.431	1.398	1.114	1.279	1.431	1.301	1.301	1.204	1.255	0.699	1.322	1.544	0.699	1.431	1.279	1.301	1.322	1.279	0.699	1.041	1.204	1.079	0.699	1.362	1.623	0.778	0.699	1.000	0.845	1.146	1.204	1.204	1.342	1.279	1.230	
CANX		0.477			0.301	0.000												0.602				0.301							0.845	0.477	0.477			0.000		0.301			0.778				1.079	0.000	
CAP1		0.000		0.301	0.477	0.301			0.301				0.000	0.477	0.000	0.477		0.000		0.000		0.000	0.301	0.301															0.301				0.000	0.477	
CASC4	0.778	1.000	0.954	1.362	0.845	1.176	1.041	1.322	1.041	1.114	0.903	1.146	1.204	1.279	0.954	1.301	1.322	0.954	0.845	0.954	1.279	0.778	1.279	1.000	0.903	0.845	1.114	0.778	0.845	1.000	1.146	0.845	0.845	0.954	1.041	0.903	0.903	0.778	0.903	1.114	1.041	0.778	0.954	1.114	
CCDC80		0.477	0.301	0.301	0.301	0.477	0.477	0.477	0.699	0.602	0.477	0.845	0.699	0.602	0.699	0.602	0.477	0.602		1.000			0.477	0.477		0.477	0.477	0.602	0.602	0.000					0.477	0.301	0.477	0.477		0.000	0.699	0.477	0.778	0.477	
CD109	1.279	1.301	1.491	1.415	1.322	1.204	1.204	1.519	1.415	1.322	1.176	1.653	1.431	1.519	1.322	1.531	1.732	1.322	1.114	1.431	1.505	1.146	1.380	1.362	1.230	1.146	1.230	1.255	1.114	1.322	1.477	1.255	1.362	1.255	1.176	1.230	1.279	1.362	1.204	1.778	1.544	1.362	1.431	1.398	
CD14	0.477	0.602	0.477	0.477	0.301	0.477	0.477	0.477	0.000	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.000		0.477	0.000	0.477	0.477	0.477	0.477	0.477	0.301	0.000	0.477	0.602	0.477	0.778	0.000	0.477	0.477	0.477		0.602	
CD163	0.903	1.079	1.279	1.146	1.041	1.000	1.322	1.146	1.041	1.255	1.041	1.176	1.000	1.230	1.000	1.114	1.114	1.146	1.000	1.146	1.146	1.000	0.845	1.176	1.146	1.176	0.845	1.041	0.778	1.041	1.079	0.778	1.176	1.000	1.114	1.079	0.954	1.041	0.699	1.204	1.176	1.255	1.204	1.301	
CD177											0.000											0.000							0.778																
CD180	0.845	0.778	0.477	0.778	0.954	0.903	1.114	0.477	0.602	0.903	0.602	0.903	0.699	0.477	0.699	0.477	0.477	0.954	0.602	0.778	0.477		0.778	0.477	0.602	0.602	1.041	0.699	0.903	0.954	0.954	0.477	0.477	0.845	0.903	0.845	0.778	0.699		0.778	0.699	0.602	0.699	0.903	
CD200	0.477	0.602	0.602	0.477	0.301	0.477	0.477	0.602	0.477	0.477	0.477	0.602	0.699	0.699	0.477	0.477	0.778	0.301	0.477	0.699	0.602	0.602	0.477	0.477	0.602	0.602	0.477	0.477	0.477	0.477	0.477	0.301	0.602	0.477	0.477			0.477	0.477	0.602	0.602	0.602	0.477	0.477	
CD24	0.477	0.000		0.903	0.602	0.301	0.602	0.903	0.778	0.954	0.778	0.903	0.778	0.954	0.903	0.954	0.602	0.778	0.477	0.000			0.954	0.301					0.301	0.602	0.602			0.845	0.301	0.602		0.301		0.778	0.954		0.477	0.699	
CD276	0.954	1.079	1.204	1.322	1.079	1.114	1.176	1.000	1.114	1.079	1.176	1.255	1.204	1.230	1.230	1.322	1.176	1.114	1.146	1.079	1.230	0.954	1.176	1.146	1.204	1.146	1.176	1.041	1.079	1.079	1.230	0.699	1.176	1.301	1.176	1.041	1.146	1.000	0.699	1.114	1.204	1.204	1.079	1.230	
CD36		0.954	0.699	1.230	0.845	1.255	0.699	1.041	1.580	1.114		1.342	1.255	1.176	0.301	1.230	0.477	0.477		1.146		0.301	0.903	0.301		0.301	0.477		1.146	1.114	0.778				0.000	0.000	0.301	0.778	0.477	1.279	1.415	1.176	1.415	1.322	
CD38	1.230	0.602	0.954	1.079	0.602	0.602	0.903	0.903	1.176	0.954	1.000	0.903	0.301	0.301	0.778	0.845	0.602			1.041	1.000		0.954			0.477	1.079	0.477		0.301		0.000	1.000	1.000		1.114	0.845	0.699		1.114	1.114	1.114	1.079	1.114	
CD40									0.000								0.000			0.699				0.301		0.301							0.000									0.301	0.301	0.000	
CD46	0.000	0.301		1.146	0.301	0.477	0.954	0.845	0.301	0.954		0.699	0.301	0.477	0.845	0.845	0.477	0.000	0.301	0.000	0.477		0.845				0.903		0.477	0.000	0.477			0.778	0.000	0.301	0.301	0.000		0.954	0.699			0.845	
CD47	1.477	1.491	1.681	1.633	1.380	1.519	1.519	1.653	1.556	1.591	1.477	1.519	1.531	1.672	1.431	1.613	1.699	1.415	1.477	1.672	1.763	1.431	1.623	1.477	1.531	1.447	1.431	1.544	1.230	1.322	1.477	1.362	1.415	1.415	1.380	1.380	1.322	1.415	1.322	1.653	1.845	1.380	1.556	1.623	
CD48	0.778	0.602	0.602	0.477	0.778	0.845	0.602	0.602	0.903	0.778	0.699	0.477	0.778	0.602	0.602	0.477	0.000	0.477	0.602	0.903	0.477	0.477	1.000	0.699	0.000	0.602	0.778	0.699	0.699	0.699	0.602	0.477	0.699	0.602	0.602	0.699	0.845	0.477	0.477	0.699	0.778	0.699	0.477	0.778	
CD58		0.301	0.477	0.845	0.301	0.845	0.602	0.699	0.477	0.477	0.477	0.477	0.477		0.477		0.477			0.845			0.602	0.477		0.477	0.954	0.778		0.477	0.477		0.477	0.000	0.477	0.000	0.000	0.477	0.477	0.477		0.477	0.602	1.041	
CD63	1.431	1.362	1.279	1.826	1.362	1.477	1.431	1.602	1.477	1.531	1.491	1.613	1.491	1.431	1.491	1.398	1.806	1.380	1.447	1.255	1.398	1.322	1.415	1.431	1.431	1.342	1.415	1.362	1.322	1.362	1.556	1.322	1.462	1.477	1.380	1.362	1.380	1.362	1.079	1.531	1.643	1.255	1.114	1.491	
CD68	1.079	1.204	1.041	1.568	1.146	1.255	1.544	1.491	1.255	1.322	1.230	1.519	0.903	1.255	1.255	1.146	1.398	1.114	0.903	1.462	1.176	0.602	1.301	1.230	0.477	1.204	1.342	0.778	0.954	1.000	1.301	0.699	1.380	1.204	1.041	1.079	1.079	1.230	0.699	1.041	1.447	1.041	1.301	1.447	
CD74	1.462	1.462	1.447	1.633	1.204	1.322	1.462	1.851	1.591	1.505	1.301	1.491	1.643	1.556	1.322	1.580	1.643	1.204	1.176	1.415	1.699	1.079	1.447	1.380	1.230	1.176	1.732	1.431	1.380	1.255	1.556	1.079	1.398	1.362	1.380	1.462	1.255	1.279	0.954	1.708	1.663	1.398	1.204	1.531	
CD82				0.954			0.699	0.954	0.000	0.301	0.000	0.477		0.602		0.602	0.477			0.301	0.477				0.699	0.000					0.477		0.477	0.301						0.000	0.301			0.845	
CD9			0.301	0.602		0.699	0.845	0.602	0.602	0.778	0.301	0.477		0.954	0.778	0.477	0.778	0.000		0.477	0.477	0.000	0.477	0.778	0.602	0.778	0.903		0.477	0.477	0.477		0.602	0.477	0.301		0.000		0.000	0.778	0.699	0.477	0.903	0.903	
CDCP1	0.778	0.845	1.114	1.255	1.146	0.602	1.176	1.322	1.041	0.477	1.041	1.255	1.114	1.255	1.114	1.342	1.230	0.954	0.602	1.079	1.230	0.602	1.041	0.699	0.954	1.176	0.778	0.954	0.000	1.255	1.279	0.699	1.000	0.477	0.954	1.255	1.041	1.041	0.845	0.699	1.079	1.041	1.301	0.954	
CDH1			0.000	0.602				0.301			0.000					0.000	0.602			0.477	0.301		0.000	0.000				0.301					0.000	0.000		0.000	0.000				0.301				
CDH11	0.477	0.845	0.699	0.602	0.845	0.778	0.845	0.778	0.778	0.778	0.477	0.778	0.699	0.699	0.845	0.477	0.778	0.845	0.845	0.778	0.602	0.000	0.845	0.602	0.602	0.699	0.903	1.079	0.602	0.778	0.477		0.477	0.477	0.845	0.903	0.699	0.954	0.477	0.903	0.778	0.301	0.778	0.845	
CDH12				0.903																																									
CDH13	0.301	0.477	0.903	1.398	0.301	1.230	1.114	1.000	1.041	1.176	0.477	1.079	0.903	1.176	1.342	1.079	1.398	0.301		1.000	1.255		1.146	1.079	0.602	0.477	1.041		1.079	0.477			0.477	0.602				0.845	0.602	0.845	1.041	1.146	1.079	1.114	
CDH17																	1.000																												
CDH2		0.000	0.301	1.279	0.602	0.845	0.903	1.146	0.477	0.477	0.602	0.699	0.778	0.602	0.477	0.954	1.230	0.778	0.000	1.000	0.301		1.204	0.699	0.778	0.301	1.000				0.602		0.000	1.000	0.301	0.602	0.903	0.903		0.301	0.845	0.301		1.041	
CDH5			0.000	0.301			0.301							0.477	0.000	0.477	0.000				0.301						0.000														0.301			0.000	
CDH6	0.845	0.845	1.176	1.301	0.845	1.230	1.279	1.380	1.301	1.279	1.362	1.398	1.000	1.255	1.301	1.204	1.462	0.954	1.204	1.380	1.114	0.903	1.447	1.301	1.146	1.000	1.342	0.699	0.845	0.903	1.146	0.845	0.954	1.279	1.079	0.699	0.699	0.954	0.602	1.322	1.398	1.204	1.176	1.322	
CEACAM1	0.778	0.602	0.602	1.114	0.778	0.602	0.845	1.204	0.778	0.699	0.778	0.845	0.301	0.845	0.477	1.000	1.041		0.699	1.146	1.146	0.477	0.954	0.954	0.845	0.477	0.699	0.602	1.000	0.903	1.041	0.602	0.602	1.000	0.903	1.041	0.903	0.602		0.778	0.954	0.778	0.778	0.699	
CELSR1	0.699	0.903	1.000	1.146	0.845		0.301	1.230	1.114	0.778	1.079	0.845	0.778	0.602	0.477	0.903	1.176	0.477	0.477	1.079	0.699	0.301	1.342	1.114	0.778	0.845	0.845	0.699		0.903	1.041	0.602	0.477	1.176	0.000	0.778	0.699	0.699	0.000	0.602	1.079	0.699	0.477	0.778	
CELSR2	0.778	0.778	0.954	1.380	1.114	1.079	1.230	1.204	1.114	1.000	1.230	1.000	1.079	1.079	0.954	1.079	1.462	0.903	0.778	1.301	1.000	0.778	1.230	1.000	0.954	1.230	1.204	1.000	0.845	1.041	0.845	1.079	1.146	1.204	0.699	0.903	1.176	1.041	0.954	1.255	1.114	1.041	1.000	1.146	
CEMIP					0.000									0.477		0.000																		0.301				0.602						0.301	
CERCAM				0.301		0.000		0.602	0.000	0.602			0.477		0.000		0.602	0.000		0.477							0.699	0.301	0.000													0.000	0.301	0.301	
CERS2		0.301	0.477	0.903	0.000	0.477	0.903	0.845	0.903	0.845	0.778	0.477	0.301	0.602	0.477	0.477	0.903	0.477		0.954	0.301			0.699	0.602	0.477	0.954			0.301	0.778		0.845			0.301	0.000			0.903	0.903	0.845	0.954	0.778	
CFB	1.176	1.114	1.301	1.505	1.301	1.415	1.491	1.415	1.519	1.415	1.556	1.623	1.380	1.079	1.519	1.079	1.519	1.301	1.230	1.602	1.079	0.778	1.663	1.690	1.398	1.342	1.672	1.176	1.447	1.041	1.255	1.041	1.380	1.531	1.301	1.114	1.230	1.041	1.000	1.342	1.415	1.322	1.519	1.415	
CFH	1.491	1.447	1.342	1.591	1.415	1.556	1.544	1.602	1.477	1.580	1.519	1.771	1.623	1.633	1.556	1.663	1.699	1.531	1.556	1.398	1.613	1.380	1.591	1.681	1.447	1.362	1.477	1.505	1.663	1.462	1.462	1.322	1.398	1.568	1.643	1.431	1.462	1.398	1.301	1.633	1.681	1.477	1.447	1.519	
CFHR1	1.176	0.903	1.079	0.845	1.000	1.146	1.279	1.041	1.176	1.114	1.079	1.146	1.255	1.146	1.176	1.041	1.114	1.176	1.230	1.230	1.000	0.477	1.114	1.230	1.230	1.000	0.903	1.114	1.204	1.114	1.204	0.903	1.079	1.362	1.230	1.146	1.204	1.079	0.301	1.230	0.778	1.041	1.146	1.146	
CFHR3	0.000			0.000			0.778	0.477		0.699	0.778	0.477	0.699	0.903	0.602	0.778	0.477		0.845		0.000		0.602	0.000	0.301	0.602	0.477	0.301						0.477	0.778		0.845		0.301	0.301	0.000	0.477	0.000	0.699	
CFI	1.176	0.903	1.114	0.602	0.903	1.041	1.255	1.146	0.778	1.114	1.279	1.431	0.954	1.000	1.041	1.176	1.146	1.176	1.230	0.602	0.845	0.845	1.000	1.176	1.114	0.954	1.204	0.903	1.204	0.845	1.000	0.845	1.204	1.230	1.176	0.903	1.301	0.778	0.954	1.204	1.041	1.204	1.146	1.342	
CFL1	0.000	0.301		0.000	0.699	1.041	0.301				0.301							0.778	0.301									0.000	1.000	0.477	0.000	0.301		1.079		0.699	0.477	0.301	0.477	0.699			1.204	0.699	
CHL1	0.903	0.778	0.602	0.903		0.845	0.903	0.000	1.114	1.230	0.845	0.954	1.146	0.602	0.602	0.602	0.845	0.477	0.301	0.778	0.699		0.778	0.778	0.954	0.000	1.114			0.477	1.041		0.602	0.699	0.845	0.000	0.903	0.301		0.778	0.602		0.699		
CHPF			0.301	0.699		0.000	0.000	0.845		0.778		0.477	0.301		0.000		0.301						0.000			0.301											0.000			0.000	0.477			0.477	
CHST10		0.301								0.778			0.301										0.000																						
CHST12	0.477	0.477	0.301		0.301	0.477	0.477	0.000		0.477	0.301	0.477	0.477	0.477	0.602	0.477	0.000		0.000	0.477	0.778	0.000	0.477			0.301	0.301		0.000	0.301	0.301	0.301	0.000	0.778	0.477	0.477	0.000	0.477		0.477	0.477	0.602		0.000	
CHST3				0.301											0.301								0.477																						
CILP	0.699	0.903	1.114	1.000	0.699	1.079	1.230	1.079	1.079	1.415	1.000	1.613	1.301	1.114	1.462	1.255	1.146	1.000	0.602	1.176	0.954	0.477	1.342	1.079	0.954	1.079	1.041	1.079	1.505	0.699	0.477	0.301	0.845	1.230	0.778	0.903	1.000	1.176	0.477	1.041	1.342	1.000	1.146	1.362	
CLCA1																	1.146						0.301																						
CLDND1		0.301		0.602	0.301		0.301	0.000		0.301				0.602	0.477	0.301	0.000											0.000		0.000								0.000						0.301	
CLIC1		0.477			0.602													0.301				0.000								0.000	0.477			0.000		0.477	0.699	0.000	0.477				0.778		
CLN5	0.845	0.699	0.699	1.041	0.903	0.778	0.954	1.114	1.176	1.041	1.000	1.000	0.903	0.845	0.845	0.954	0.954	0.602	0.602	1.041	0.954	0.477	1.041	0.954	0.903	1.000	0.903	0.903	0.778	0.903	1.000		1.000	0.845	0.903	1.000	0.903	0.845	0.477	0.903	1.000	0.778	1.000	1.000	
CLPTM1	0.845	0.778	0.845	1.114	0.845	0.845	0.954	0.903	0.778	0.903	0.778	1.000	0.778	0.903	0.778	0.778	0.903	0.845	0.778	0.903	0.778	0.602	0.699	0.699	0.845	0.903	0.845	0.778	0.778	0.778	0.699	0.602	0.845	0.778	0.778	0.778	0.845	0.778	0.845	0.699	0.903	0.778	0.778	0.845	
CLPTM1L	0.845	0.602	0.602	0.778	0.778	0.845	0.954	1.079	0.845	0.903	0.602	0.954	0.903	0.699	0.954	0.778	0.602	0.778	0.699	0.845	0.699	0.477	0.903	0.699	0.477	0.477	0.699	0.602	0.778	0.699	0.845	0.477	0.477	0.845	0.602	0.903	0.845	0.699	0.477	0.903	0.954	0.602	0.778	0.954	
CLTC		0.301																				0.301																					0.301		
CLU	1.892	1.771	1.799	1.954	1.869	1.919	2.009	1.996	1.813	1.934	2.033	1.914	1.863	1.875	1.964	1.833	2.220	1.892	2.004	1.982	1.875	1.672	1.892	1.934	1.892	1.763	2.097	1.740	2.041	1.833	1.813	1.763	1.991	1.898	1.875	1.845	1.903	1.724	1.544	1.964	1.959	1.914	1.806	1.919	
CMA1			0.477			0.903	0.301		0.954	0.477		0.000	0.477	0.477		0.477				0.477			0.845	0.000	0.699		0.477	0.000												0.301	0.477	0.903	0.602	0.477	
CNNM4	0.477	0.477		1.114	0.602	0.699	0.954	1.146	0.845	0.845	0.602	0.903	0.954	0.778	1.114	0.845	1.079	0.301	0.477	0.954	0.778	0.778	0.954		0.778	0.000	0.954	0.000	0.602	0.778	0.699	0.602	0.477	0.477	0.477	0.845	0.000	0.477	0.301	0.699	0.954	0.000	0.477	1.000	
CNPY3		0.000	0.477	1.279		1.146	1.000	1.146	1.041	0.903	0.477	0.778	0.602	1.079	1.041	0.699	0.845	0.301		1.255	0.778		0.778	1.079	0.602	0.778	1.000		0.477		0.699		0.602			0.301				1.079	1.176	0.602	1.000	0.954	
CNTN1	0.301	0.778	0.778	0.477		0.477	0.699	0.477	0.301	0.699	0.602	0.477	0.778	0.778	0.778	0.477	0.699		0.000	0.903	0.903	0.000	0.778	0.845	0.778	0.000	0.000		0.477				0.602	0.477	0.477	0.477		0.000		0.477	0.477	0.000	0.699	0.000	
CNTNAP1					0.699													0.000	0.000									0.000		0.301					0.699			0.477			0.000				
COL11A1			0.301							0.602		0.301		0.000			0.699									0.301			0.301					0.301		0.000	0.000						0.301		
COL12A1	1.380	1.491	1.763	1.663	1.447	1.568	1.806	1.806	1.613	1.863	1.531	1.839	1.633	1.672	1.740	1.519	1.845	1.519	1.477	1.681	1.568	1.462	1.771	1.690	1.778	1.663	1.643	1.591	1.591	1.531	1.519	1.477	1.591	1.556	1.491	1.380	1.477	1.568	1.491	1.602	1.851	1.591	1.806	1.633	
COL14A1	1.568	1.491	1.431	1.491	1.342	1.716	1.756	1.568	1.763	1.519	1.580	1.568	1.519	1.556	1.633	1.462	1.531	1.342	1.491	1.756	1.544	1.301	1.544	1.653	1.785	1.380	1.643	1.114	1.380	1.322	1.146	1.114	1.708	1.491	1.462	1.255	1.415	1.176	1.447	1.602	1.732	1.633	1.462	1.477	
COL1A1	1.591	1.531	1.477	1.255	1.505	1.785	1.663	1.591	1.230	1.929	1.431	1.653	1.342	1.462	1.505	1.398	1.613	1.568	1.362	1.204	1.531	1.623	1.447	1.415	1.431	1.505	1.398	1.491	1.708	1.623	1.491	1.342	1.380	1.643	1.580	1.568	1.531	1.643	1.342	1.690	1.756	1.544	1.663	1.623	
COL1A2	1.544	1.362	1.322	1.146	1.380	1.505	1.531	1.519	1.342	1.785	1.301	1.462	1.301	1.322	1.380	1.279	1.519	1.431	1.398	1.322	1.380	1.342	1.362	1.398	1.176	1.255	1.342	1.322	1.613	1.380	1.279	1.342	1.079	1.602	1.342	1.544	1.398	1.491	1.415	1.568	1.462	1.301	1.643	1.447	
COL2A1						0.000				0.301																			0.477														0.477		
